2012-01-01,5300,1140.18
2012-01-02,48015,1140.18
2012-01-09,43093,1146.72
2012-01-16,49039,1131.87
2012-01-23,47231,1113.19
2012-01-30,27552,1112.07
2012-02-06,37551,1108.05
2012-02-13,44236,1113.22
2012-02-20,50051,1114.05
2012-02-27,49973,1111.85
2012-03-05,61987,1108.94
2012-03-12,55438,1112.98
2012-03-19,46603,1115.56
2012-03-26,57260,1125.4
2012-04-02,52438,1116.8
2012-04-09,33894,1126.53
2012-04-16,47845,1126.77
2012-04-23,44402,1127.24
2012-04-30,39557,1119.45
2012-05-07,43702,1128.98
2012-05-14,46059,1147.91
2012-05-21,78372,1159.73
2012-05-28,76086,1168.95
2012-06-04,53556,1163.78
2012-06-11,55339,1156.22
2012-06-18,72753,1143.97
2012-06-25,60847,1146.09
2012-07-02,48636,1128.27
2012-07-09,57683,1134.13
2012-07-16,52282,1130.5
2012-07-23,50044,1136.23
2012-07-30,62645,1122.33
2012-08-06,75674,1116.05
2012-08-13,57514,1120.26
2012-08-20,170595,1121.97
2012-08-27,515746,1124.07
2012-09-03,116104,1122.03
2012-09-10,66388,1115.87
2012-09-17,61948,1106.35
2012-09-24,56468,1107.4
2012-10-01,49980,1101.41
2012-10-08,41739,1101.78
2012-10-15,55726,1096.17
2012-10-22,473685,1091.2
2012-10-29,870347,1082.15
2012-11-05,334846,1079.82
2012-11-12,162621,1077.54
2012-11-19,100497,1073.66
2012-11-26,89281,1073.78
2012-12-03,78937,1072.63
2012-12-10,82728,1064.65
2012-12-17,65963,1062.3
2012-12-24,55302,1062.89
2012-12-31,0,1055.76
